vol,ask,bid,open,close,high,low,start,end
1106603,135958,135943.75,4709.5,4687,4714,4673.5,2023-09-01 08:30:00,2023-09-01 15:30:00
45365,70312.5,70305.25,4691.75,4684.5,4694.5,4681.5,2023-09-04 08:30:00,2023-09-04 17:15:00
1003708,135644.75,135630.25,4680,4667.25,4687,4666.25,2023-09-05 08:30:00,2023-09-05 15:30:00
1354368,134417.75,134402,4659,4635.25,4660.5,4613.25,2023-09-06 08:30:00,2023-09-06 15:30:00
1210669,133918.75,133904.25,4604.75,4623.5,4629.25,4600.5,2023-09-07 08:30:00,2023-09-07 15:30:00
908603,134299.75,134285.25,4621.5,4633,4643.75,4617.75,2023-09-08 08:30:00,2023-09-08 15:30:00
773042,134870,134855.5,4652.75,4655.75,4660.5,4636.5,2023-09-11 08:30:00,2023-09-11 15:30:00
915238,134553.5,134539.25,4639.5,4631.5,4656,4624.25,2023-09-12 08:30:00,2023-09-12 15:30:00
1066849,134510,134496,4626.5,4637.5,4647.25,4620,2023-09-13 08:30:00,2023-09-13 15:30:00
1172034,135359,135344.5,4659.75,4678,4679,4645,2023-09-14 08:30:00,2023-09-14 15:30:00
1472336,134272.75,134256.25,4662.75,4617.75,4663.75,4611,2023-09-15 08:30:00,2023-09-15 15:30:00
930000,134005,133990.5,4610.5,4620.5,4631.5,4607,2023-09-18 08:30:00,2023-09-18 15:30:00
1221288,133325.75,133311.5,4609,4608.25,4613.75,4579.25,2023-09-19 08:30:00,2023-09-19 15:30:00
1274145,133647.5,133633,4624,4563.75,4624.5,4560.5,2023-09-20 08:30:00,2023-09-20 15:30:00
1573123,130907.25,130892.75,4527.75,4484.25,4535.5,4483.75,2023-09-21 08:30:00,2023-09-21 15:30:00
1385616,130454.25,130439.75,4503.75,4481,4516,4474.25,2023-09-22 08:30:00,2023-09-22 15:30:00
1241004,129990,129975.5,4459,4498.5,4499.5,4458.5,2023-09-25 08:30:00,2023-09-25 15:30:00
1408092,128891.5,128876.25,4466.5,4437,4471,4422.5,2023-09-26 08:30:00,2023-09-26 15:30:00
1652105,128343,128328,4449.5,4437.25,4450.25,4394,2023-09-27 08:30:00,2023-09-27 15:30:00
1565822,129089.25,129072.5,4425.75,4456.75,4472.75,4418,2023-09-28 08:30:00,2023-09-28 15:30:00
1697449,129277,129260.75,4485,4448.25,4488.25,4428,2023-09-29 08:30:00,2023-09-29 15:30:00
1581438,128466,128451.5,4431.5,4443.75,4454.75,4412.5,2023-10-02 08:30:00,2023-10-02 15:30:00
1836271,127260.5,127245.5,4413.25,4384.25,4434,4368.25,2023-10-03 08:30:00,2023-10-03 15:30:00
1653133,127481.5,127467,4389.75,4410.25,4421,4371.25,2023-10-04 08:30:00,2023-10-04 15:30:00
1351759,127562.75,127548.5,4400.5,4403.75,4417.75,4375,2023-10-05 08:30:00,2023-10-05 15:30:00
1730726,128656.75,128641,4375.75,4462.5,4475.5,4368.5,2023-10-06 08:30:00,2023-10-06 15:30:00
1137269,129432.75,129415.75,4435.75,4486.25,4492.75,4433,2023-10-09 08:30:00,2023-10-09 15:30:00
1310679,130963.5,130947,4493,4508.5,4536,4488.25,2023-10-10 08:30:00,2023-10-10 15:30:00
1161987,130851.25,130836.75,4519.5,4534.25,4535.75,4494.25,2023-10-11 08:30:00,2023-10-11 15:30:00
1554353,130794.75,130778.75,4528.5,4498.5,4534.5,4472.5,2023-10-12 08:30:00,2023-10-12 15:30:00
1822002,130058.5,130043.75,4513,4469,4524.75,4457.75,2023-10-13 08:30:00,2023-10-13 15:30:00
1378822,131050.5,131036,4497.25,4524,4531.25,4494.75,2023-10-16 08:30:00,2023-10-16 15:30:00
1580710,130896.25,130881.75,4492.25,4516.5,4540.25,4482.75,2023-10-17 08:30:00,2023-10-17 15:30:00
1947077,129960.25,129945.75,4499.75,4466,4509.5,4447.75,2023-10-18 08:30:00,2023-10-18 15:30:00
2346592,128967.25,128952.75,4467.75,4414.5,4483.5,4409.75,2023-10-19 08:30:00,2023-10-19 15:30:00
1935993,127200,127183.75,4407.25,4364.25,4419.25,4360.5,2023-10-20 08:30:00,2023-10-20 15:30:00
1603180,126783.25,126768.75,4347,4366.5,4397.75,4330.25,2023-10-23 08:30:00,2023-10-23 15:30:00
1499551,127113.75,127099.25,4381.25,4388,4407.5,4359,2023-10-24 08:30:00,2023-10-24 15:30:00
1683539,125909.5,125895,4372,4333.5,4373,4320.75,2023-10-25 08:30:00,2023-10-25 15:30:00
1935103,124457.75,124441.5,4317.5,4282.75,4322,4263.25,2023-10-26 08:30:00,2023-10-26 15:30:00
1823641,123757.5,123743,4291,4255,4294.5,4239.25,2023-10-27 08:30:00,2023-10-27 15:30:00
1603293,124462.75,124448.25,4280.25,4301,4314.5,4269,2023-10-30 08:30:00,2023-10-30 15:30:00
1473343,125118.25,125104,4306.5,4320.25,4332,4288.75,2023-10-31 08:30:00,2023-10-31 15:30:00
1691788,126234.25,126219.75,4332.75,4372,4381.75,4332.5,2023-11-01 08:30:00,2023-11-01 15:30:00
1409849,128683.5,128668.5,4411.25,4449,4454.75,4407.75,2023-11-02 08:30:00,2023-11-02 15:30:00
1394944,130345,130328.25,4472.75,4496.5,4508.75,4472.25,2023-11-03 08:30:00,2023-11-03 15:30:00
949910,130376.75,130362.75,4497.75,4495,4506.5,4481.25,2023-11-06 08:30:00,2023-11-06 15:30:00
953550,130750.5,130736,4493.75,4516.5,4519.5,4489.25,2023-11-07 08:30:00,2023-11-07 15:30:00
