vol,ask,bid,open,close,high,low,start,end,tendencia,d,condicion,pasa_close,pasa_d2
676038.0,38455.5,38441.5,1323.75,1327.25,1327.5,1322.75,2010-12-21 08:30:00,2010-12-21 15:30:00,1,4.0,1.0,0,0
461741.0,38582.25,38568.5,1328.25,1330.75,1332.25,1327.5,2010-12-22 08:30:00,2010-12-22 15:30:00,1,1.0,0.0,0,0
405768.0,38579.0,38566.0,1330.25,1329.75,1331.75,1326.75,2010-12-23 08:30:00,2010-12-23 15:30:00,-1,0.5,1.0,1,1
408634.0,38528.25,38514.5,1325.25,1331.25,1331.5,1324.5,2010-12-27 08:30:00,2010-12-27 15:30:00,1,4.5,0.0,0,0
405726.0,38616.5,38602.0,1332.25,1332.75,1333.5,1329.0,2010-12-28 08:30:00,2010-12-28 15:30:00,1,1.0,0.0,0,0
368475.0,38716.5,38703.75,1332.75,1335.5,1336.0,1332.25,2010-12-29 08:30:00,2010-12-29 15:30:00,1,0.0,0.0,0,0
480015.0,38620.25,38606.25,1331.5,1333.0,1334.5,1329.0,2010-12-30 08:30:00,2010-12-30 15:30:00,1,4.0,1.0,0,1
341658.0,38595.5,38581.75,1327.75,1332.0,1332.5,1327.0,2010-12-31 08:30:00,2010-12-31 15:30:00,1,5.25,1.0,0,1
1116461.0,39044.75,39030.5,1341.25,1344.75,1350.0,1340.0,2011-01-03 08:30:00,2011-01-03 15:30:00,1,9.25,0.0,0,0
1371827.0,38920.5,38906.0,1346.5,1342.75,1347.5,1335.75,2011-01-04 08:30:00,2011-01-04 15:30:00,-1,1.75,0.0,0,0
1395907.0,39027.75,39013.25,1337.5,1349.75,1351.25,1336.75,2011-01-05 08:30:00,2011-01-05 15:30:00,1,5.25,0.0,0,0
1233641.0,39113.0,39099.0,1353.75,1346.0,1353.75,1343.75,2011-01-06 08:30:00,2011-01-06 15:30:00,-1,4.0,0.0,0,0
1747768.0,38988.75,38974.25,1348.25,1343.25,1351.5,1335.25,2011-01-07 08:30:00,2011-01-07 15:30:00,-1,2.25,1.0,1,1
1524765.0,38902.25,38888.25,1338.75,1345.0,1345.5,1335.5,2011-01-10 08:30:00,2011-01-10 15:30:00,1,4.5,0.0,0,0
1285800.0,39112.25,39098.25,1348.0,1347.0,1351.25,1343.0,2011-01-11 08:30:00,2011-01-11 15:30:00,-1,3.0,0.0,0,0
1128279.0,39394.5,39380.5,1355.75,1357.0,1361.0,1353.5,2011-01-12 08:30:00,2011-01-12 15:30:00,1,8.75,1.0,0,0
1237233.0,39411.25,39397.25,1361.25,1355.25,1361.25,1354.75,2011-01-13 08:30:00,2011-01-13 15:30:00,-1,4.25,0.0,0,0
1145243.0,39466.0,39451.75,1353.0,1365.0,1366.5,1351.75,2011-01-14 08:30:00,2011-01-14 15:30:00,1,2.25,0.0,0,0
69875.0,17717.25,17711.0,1364.25,1362.5,1364.5,1360.25,2011-01-17 08:30:00,2011-01-17 18:15:00,-1,0.75,1.0,0,0
1089583.0,39655.5,39641.5,1365.5,1368.5,1369.25,1364.0,2011-01-18 08:30:00,2011-01-18 15:30:00,1,3.0,1.0,0,1
1748498.0,39493.5,39479.0,1369.25,1355.0,1369.75,1352.75,2011-01-19 08:30:00,2011-01-19 15:30:00,-1,0.75,0.0,0,0
1947659.0,39220.5,39206.25,1353.25,1352.75,1357.75,1345.0,2011-01-20 08:30:00,2011-01-20 15:30:00,-1,1.75,0.0,0,0
1469162.0,39449.0,39435.0,1358.75,1358.5,1365.5,1356.25,2011-01-21 08:30:00,2011-01-21 15:30:00,-1,6.0,1.0,0,0
1244245.0,39502.0,39487.5,1357.5,1361.5,1366.25,1356.25,2011-01-24 08:30:00,2011-01-24 15:30:00,1,1.0,0.0,0,0
1871632.0,39451.75,39438.0,1360.25,1362.0,1366.0,1354.5,2011-01-25 08:30:00,2011-01-25 15:30:00,1,1.25,1.0,1,1
1217782.0,39759.5,39745.5,1369.75,1373.0,1374.25,1365.75,2011-01-26 08:30:00,2011-01-26 15:30:00,1,7.75,0.0,0,0
1078227.0,39799.25,39785.25,1372.5,1374.0,1375.5,1368.0,2011-01-27 08:30:00,2011-01-27 15:30:00,1,0.5,1.0,1,1
2657181.0,39505.25,39490.75,1373.5,1349.75,1377.0,1349.0,2011-01-28 08:30:00,2011-01-28 15:30:00,-1,0.5,1.0,1,1
1657195.0,39355.5,39341.25,1354.25,1358.0,1361.25,1350.75,2011-01-31 08:30:00,2011-01-31 15:30:00,1,4.5,1.0,0,1
1599687.0,39915.75,39901.25,1367.0,1381.75,1383.0,1366.5,2011-02-01 08:30:00,2011-02-01 15:30:00,1,9.0,0.0,0,0
1009755.0,40005.5,39991.25,1378.75,1378.25,1381.75,1375.5,2011-02-02 08:30:00,2011-02-02 15:30:00,-1,3.0,1.0,1,1
1467277.0,39917.0,39902.5,1374.25,1381.5,1382.25,1369.0,2011-02-03 08:30:00,2011-02-03 15:30:00,1,4.0,0.0,0,0
1271479.0,40073.0,40058.75,1383.0,1383.5,1386.0,1375.5,2011-02-04 08:30:00,2011-02-04 15:30:00,1,1.5,0.0,0,0
1137177.0,40416.25,40402.5,1388.5,1392.0,1397.5,1387.5,2011-02-07 08:30:00,2011-02-07 15:30:00,1,5.0,0.0,0,0
1088872.0,40479.25,40465.0,1393.25,1397.5,1398.75,1390.5,2011-02-08 08:30:00,2011-02-08 15:30:00,1,1.25,0.0,0,0
1404668.0,40456.75,40443.0,1394.25,1393.75,1399.5,1389.25,2011-02-09 08:30:00,2011-02-09 15:30:00,-1,3.25,1.0,1,1
1422015.0,40399.0,40384.75,1388.75,1395.5,1396.75,1386.0,2011-02-10 08:30:00,2011-02-10 15:30:00,1,5.0,0.0,0,0
1449935.0,40579.25,40565.0,1392.5,1405.25,1406.25,1390.75,2011-02-11 08:30:00,2011-02-11 15:30:00,1,3.0,1.0,1,1
811486.0,40759.25,40745.5,1403.75,1406.25,1407.75,1402.0,2011-02-14 08:30:00,2011-02-14 15:30:00,1,1.5,1.0,1,1
1092562.0,40704.75,40690.75,1404.25,1402.0,1405.5,1399.75,2011-02-15 08:30:00,2011-02-15 15:30:00,-1,2.0,1.0,0,1
1438750.0,40898.0,40883.75,1409.75,1411.0,1413.5,1405.0,2011-02-16 08:30:00,2011-02-16 15:30:00,1,7.75,1.0,0,1
1367864.0,40973.25,40959.0,1410.25,1416.75,1417.5,1406.0,2011-02-17 08:30:00,2011-02-17 15:30:00,1,0.75,1.0,1,1
1137401.0,41109.25,41095.25,1415.25,1415.75,1420.25,1413.75,2011-02-18 08:30:00,2011-02-18 15:30:00,1,1.5,1.0,1,1
124969.0,18384.25,18377.75,1416.0,1406.0,1417.0,1406.5,2011-02-21 08:30:00,2011-02-21 18:15:00,-1,0.25,0.0,0,0
2268550.0,40628.5,40614.0,1403.75,1388.75,1412.0,1387.75,2011-02-22 08:30:00,2011-02-22 15:30:00,-1,2.25,0.0,0,0
2469080.0,40214.75,40200.5,1394.0,1386.5,1395.5,1375.0,2011-02-23 08:30:00,2011-02-23 15:30:00,-1,5.25,1.0,1,1
2253202.0,40032.5,40018.0,1377.75,1384.25,1387.5,1370.0,2011-02-24 08:30:00,2011-02-24 15:30:00,1,8.75,0.0,0,0
1314916.0,40416.0,40401.75,1389.75,1395.75,1397.5,1386.5,2011-02-25 08:30:00,2011-02-25 15:30:00,1,5.5,0.0,0,0
1197987.0,40667.75,40653.25,1402.25,1402.0,1406.5,1396.75,2011-02-28 08:30:00,2011-02-28 15:30:00,-1,6.5,0.0,0,0
2409572.0,40509.25,40494.75,1407.5,1384.75,1410.0,1382.5,2011-03-01 08:30:00,2011-03-01 15:30:00,-1,5.5,1.0,1,1
2121914.0,40147.25,40133.25,1380.5,1386.5,1391.25,1375.0,2011-03-02 08:30:00,2011-03-02 15:30:00,1,4.25,0.0,0,0
1814388.0,40691.5,40677.0,1395.0,1407.75,1409.5,1393.5,2011-03-03 08:30:00,2011-03-03 15:30:00,1,8.5,0.0,0,0
2303093.0,40551.0,40537.0,1409.0,1390.25,1412.0,1388.75,2011-03-04 08:30:00,2011-03-04 15:30:00,-1,1.25,0.0,0,0
2033801.0,40357.75,40343.25,1398.0,1388.75,1404.75,1380.25,2011-03-07 08:30:00,2011-03-07 15:30:00,-1,7.75,1.0,1,1
1627086.0,40493.5,40479.25,1387.0,1401.0,1403.25,1383.5,2011-03-08 08:30:00,2011-03-08 15:30:00,1,1.75,0.0,0,0
1572820.0,40499.75,40485.5,1399.0,1397.25,1401.0,1389.0,2011-03-09 08:30:00,2011-03-09 15:30:00,-1,2.0,1.0,1,1
1042668.0,40003.0,39988.75,1389.0,1372.5,1389.25,1371.0,2011-03-10 08:30:00,2011-03-10 15:30:00,-1,8.25,0.0,0,0
1338323.0,39904.75,39890.25,1370.5,1386.0,1386.0,1366.75,2011-03-11 08:30:00,2011-03-11 15:30:00,1,2.0,0.0,0,0
2018116.0,38367.75,38354.5,1374.5,1374.0,1377.75,1363.5,2011-03-14 08:30:00,2011-03-14 15:45:00,-1,11.5,1.0,0,0
2630009.0,37897.75,37884.25,1340.0,1358.25,1366.25,1337.75,2011-03-15 08:30:00,2011-03-15 15:45:00,1,34.0,0.0,0,0
2000306.0,37841.25,37827.25,1354.25,1349.5,1357.0,1344.0,2011-03-17 08:30:00,2011-03-17 15:45:00,-1,4.0,1.0,0,1
1797947.0,39462.5,39448.0,1367.5,1357.0,1369.75,1353.25,2011-03-18 08:30:00,2011-03-18 15:30:00,-1,18.0,1.0,0,1
1201806.0,38530.75,38516.75,1371.25,1374.5,1378.75,1370.25,2011-03-21 08:30:00,2011-03-21 15:45:00,1,14.25,1.0,0,0
1256384.0,38460.25,38447.0,1376.25,1370.5,1377.25,1370.0,2011-03-22 08:30:00,2011-03-22 15:45:00,-1,1.75,0.0,0,0
1679843.0,38364.25,38350.5,1369.0,1374.0,1378.5,1361.5,2011-03-23 08:30:00,2011-03-23 15:45:00,1,1.5,0.0,0,0
